cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2023,2019,2022,1,ridge,stroll,6,10
2023,2019,2022,1,rf_reg,ocon,18,2
2023,2019,2022,1,rf_clf,zhou,16,6
2023,2019,2022,1,xgb_reg,sainz,4,6
2023,2019,2022,1,xgb_clf,zhou,16,6
2023,2019,2022,1,xgb_ranker,zhou,16,6
2023,2019,2022,1,lgb_reg,ocon,18,2
2023,2019,2022,1,ensemble,ocon,18,2
2023,2019,2022,2,ridge,ocon,8,15
2023,2019,2022,2,rf_reg,ocon,8,15
2023,2019,2022,2,rf_clf,gasly,9,18
2023,2019,2022,2,xgb_reg,sainz,6,10
2023,2019,2022,2,xgb_clf,ocon,8,15
2023,2019,2022,2,xgb_ranker,gasly,9,18
2023,2019,2022,2,lgb_reg,sainz,6,10
2023,2019,2022,2,ensemble,gasly,9,18
2023,2019,2022,3,ridge,perez,5,8
2023,2019,2022,3,rf_reg,gasly,13,12
2023,2019,2022,3,rf_clf,tsunoda,10,25
2023,2019,2022,3,xgb_reg,gasly,13,12
2023,2019,2022,3,xgb_clf,de_vries,15,8
2023,2019,2022,3,xgb_ranker,tsunoda,10,25
2023,2019,2022,3,lgb_reg,gasly,13,12
2023,2019,2022,3,ensemble,gasly,13,12
2023,2019,2022,4,ridge,stroll,7,12
2023,2019,2022,4,rf_reg,norris,9,18
2023,2019,2022,4,rf_clf,bottas,18,2
2023,2019,2022,4,xgb_reg,russell,8,15
2023,2019,2022,4,xgb_clf,tsunoda,10,25
2023,2019,2022,4,xgb_ranker,piastri,11,18
2023,2019,2022,4,lgb_reg,russell,8,15
2023,2019,2022,4,ensemble,piastri,11,18
2023,2019,2022,5,ridge,ocon,9,18
2023,2019,2022,5,rf_reg,hamilton,6,10
2023,2019,2022,5,rf_clf,albon,14,10
2023,2019,2022,5,xgb_reg,gasly,8,15
2023,2019,2022,5,xgb_clf,kevin_magnussen,10,25
2023,2019,2022,5,xgb_ranker,norris,17,4
2023,2019,2022,5,lgb_reg,albon,14,10
2023,2019,2022,5,ensemble,albon,14,10
2023,2019,2022,6,ridge,gasly,7,12
2023,2019,2022,6,rf_reg,stroll,20,0
2023,2019,2022,6,rf_clf,tsunoda,15,8
2023,2019,2022,6,xgb_reg,stroll,20,0
2023,2019,2022,6,xgb_clf,tsunoda,15,8
2023,2019,2022,6,xgb_ranker,bottas,11,18
2023,2019,2022,6,lgb_reg,stroll,20,0
2023,2019,2022,6,ensemble,gasly,7,12
2023,2019,2022,7,ridge,russell,3,4
2023,2019,2022,7,rf_reg,leclerc,11,18
2023,2019,2022,7,rf_clf,bottas,19,1
2023,2019,2022,7,xgb_reg,norris,17,4
2023,2019,2022,7,xgb_clf,piastri,13,12
2023,2019,2022,7,xgb_ranker,bottas,19,1
2023,2019,2022,7,lgb_reg,perez,4,6
2023,2019,2022,7,ensemble,stroll,6,10
2023,2019,2022,8,ridge,norris,13,12
2023,2019,2022,8,rf_reg,hulkenberg,15,8
2023,2019,2022,8,rf_clf,ocon,8,15
2023,2019,2022,8,xgb_reg,bottas,10,25
2023,2019,2022,8,xgb_clf,albon,7,12
2023,2019,2022,8,xgb_ranker,ocon,8,15
2023,2019,2022,8,lgb_reg,perez,6,10
2023,2019,2022,8,ensemble,norris,13,12
2023,2019,2022,9,ridge,norris,4,6
2023,2019,2022,9,rf_reg,gasly,10,25
2023,2019,2022,9,rf_clf,ocon,14,10
2023,2019,2022,9,xgb_reg,russell,7,12
2023,2019,2022,9,xgb_clf,bottas,15,8
2023,2019,2022,9,xgb_ranker,bottas,15,8
2023,2019,2022,9,lgb_reg,ocon,14,10
2023,2019,2022,9,ensemble,gasly,10,25
2023,2019,2022,10,ridge,albon,8,15
2023,2019,2022,10,rf_reg,stroll,14,10
2023,2019,2022,10,rf_clf,ocon,20,0
2023,2019,2022,10,xgb_reg,alonso,7,12
2023,2019,2022,10,xgb_clf,ocon,20,0
2023,2019,2022,10,xgb_ranker,hulkenberg,13,12
2023,2019,2022,10,lgb_reg,piastri,4,6
2023,2019,2022,10,ensemble,gasly,18,2
2023,2019,2022,11,ridge,bottas,12,15
2023,2019,2022,11,rf_reg,bottas,12,15
2023,2019,2022,11,rf_clf,ricciardo,13,12
2023,2019,2022,11,xgb_reg,stroll,10,25
2023,2019,2022,11,xgb_clf,ricciardo,13,12
2023,2019,2022,11,xgb_ranker,ricciardo,13,12
2023,2019,2022,11,lgb_reg,alonso,9,18
2023,2019,2022,11,ensemble,ocon,19,1
2023,2019,2022,12,ridge,alonso,5,8
2023,2019,2022,12,rf_reg,stroll,9,18
2023,2019,2022,12,rf_clf,gasly,11,18
2023,2019,2022,12,xgb_reg,gasly,11,18
2023,2019,2022,12,xgb_clf,alonso,5,8
2023,2019,2022,12,xgb_ranker,kevin_magnussen,15,8
2023,2019,2022,12,lgb_reg,alonso,5,8
2023,2019,2022,12,ensemble,stroll,9,18
2023,2019,2022,13,ridge,hamilton,6,10
2023,2019,2022,13,rf_reg,stroll,11,18
2023,2019,2022,13,rf_clf,gasly,3,4
