cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts
2015,2011,2014,1,ridge,raikkonen,12,15
2015,2011,2014,1,rf_reg,ricciardo,6,10
2015,2011,2014,1,rf_clf,perez,10,25
2015,2011,2014,1,xgb_reg,ricciardo,6,10
2015,2011,2014,1,xgb_clf,max_verstappen,13,12
2015,2011,2014,1,xgb_ranker,kvyat,16,6
2015,2011,2014,1,lgb_reg,kvyat,16,6
2015,2011,2014,1,ensemble,kvyat,16,6
2015,2011,2014,2,ridge,nasr,12,15
2015,2011,2014,2,rf_reg,bottas,5,8
2015,2011,2014,2,rf_clf,sainz,8,15
2015,2011,2014,2,xgb_reg,raikkonen,4,6
2015,2011,2014,2,xgb_clf,sainz,8,15
2015,2011,2014,2,xgb_ranker,sainz,8,15
2015,2011,2014,2,lgb_reg,bottas,5,8
2015,2011,2014,2,ensemble,sainz,8,15
2015,2011,2014,3,ridge,nasr,8,15
2015,2011,2014,3,rf_reg,ricciardo,9,18
2015,2011,2014,3,rf_clf,sainz,13,12
2015,2011,2014,3,xgb_reg,ericsson,10,25
2015,2011,2014,3,xgb_clf,max_verstappen,17,4
2015,2011,2014,3,xgb_ranker,max_verstappen,17,4
2015,2011,2014,3,lgb_reg,ricciardo,9,18
2015,2011,2014,3,ensemble,max_verstappen,17,4
2015,2011,2014,4,ridge,hulkenberg,13,12
2015,2011,2014,4,rf_reg,ricciardo,6,10
2015,2011,2014,4,rf_clf,max_verstappen,18,2
2015,2011,2014,4,xgb_reg,grosjean,7,12
2015,2011,2014,4,xgb_clf,sainz,19,1
2015,2011,2014,4,xgb_ranker,grosjean,7,12
2015,2011,2014,4,lgb_reg,sainz,19,1
2015,2011,2014,4,ensemble,sainz,19,1
2015,2011,2014,5,ridge,max_verstappen,11,18
2015,2011,2014,5,rf_reg,sainz,9,18
2015,2011,2014,5,rf_clf,perez,13,12
2015,2011,2014,5,xgb_reg,kvyat,10,25
2015,2011,2014,5,xgb_clf,max_verstappen,11,18
2015,2011,2014,5,xgb_ranker,max_verstappen,11,18
2015,2011,2014,5,lgb_reg,raikkonen,5,8
2015,2011,2014,5,ensemble,max_verstappen,11,18
2015,2011,2014,6,ridge,vettel,2,2
2015,2011,2014,6,rf_reg,rosberg,1,1
2015,2011,2014,6,rf_clf,vettel,2,2
2015,2011,2014,6,xgb_reg,rosberg,1,1
2015,2011,2014,6,xgb_clf,vettel,2,2
